# tpnsfand compatibility report
# date:          2026-07-20T08:49:04+04:00
# product:       ThinkPad L13 Gen 2 / 20VH0017RT 
# bios:          R1FET59W (LNV3: R1F)
# kernel:        7.1.3
# distro:        NixOS 26.11 (Zokor)
# write_support: N
# lockdown:      n/a
# secure_boot:   
# ibm_fan:       status:		enabled speed:		1927 level:		auto commands:	level <level> (<level> is 0-7, auto, disengaged, full-speed) commands:	enable, disable commands:	watchdog <timeout> (<timeout> is 0 (off), 1-120 (seconds)) 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon5/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon0/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
08:49:04 idle      4  255  255   1927   37    29
08:49:05 idle      4  255  255   1927   36    29
08:49:07 idle      4  255  255   1927   35    29
08:49:08 idle      4  255  255   1927   36    29
08:49:09 idle      4  255  255   1927   35    29
08:49:10 idle      4  255  255   1927   38    29
08:49:11 idle      4  255  255   1927   36    29
08:49:12 idle      4  255  255   1927   37    29
08:49:13 idle      4  255  255   1927   36    29
08:49:14 idle      4  255  255   1927   36    29
08:49:15 idle      4  255  255   1927   37    29
08:49:16 idle      4  255  255   1927   38    29
08:49:17 idle      4  255  255   1927   37    29
08:49:18 idle      4  255  255   1927   38    29
08:49:19 idle      4  255  255   1927   36    29
08:49:21 idle      4  255  255   1927   37    29
08:49:22 idle      4  255  255   1927   39    29
08:49:23 idle      4  255  255   1927   36    29
08:49:24 idle      4  255  255   1927   38    29
08:49:25 idle      4  255  255   1927   36    29
08:49:26 idle      4  255  255   1927   36    29
08:49:27 idle      4  255  255   1927   37    29
08:49:28 idle      4  255  255   1927   37    29
08:49:29 idle      4  255  255   1927   37    29
08:49:30 idle      4  255  255   1927   38    29
08:49:31 idle      4  255  255   1927   37    29
08:49:32 idle      4  255  255   1927   37    29
08:49:33 idle      4  255  255   1927   38    29
08:49:34 idle      4  255  255   1927   37    29
08:49:35 idle      4  255  255   1927   36    29
08:49:37 stress    4  255  255   1927   37    29
08:49:38 stress    4  255  255   1927   44    29
08:49:39 stress    4  255  255   1927   44    29
08:49:40 stress    4  255  255   1927   44    29
08:49:41 stress    4  255  255   1927   44    29
08:49:42 stress    4  255  255   1927   45    29
08:49:43 stress    4  255  255   1927   45    29
08:49:44 stress    4  255  255   1927   46    29
08:49:46 stress    4  255  255   1927   46    29
08:49:47 stress    4  255  255   1927   47    29
08:49:48 stress    4  255  255   1927   46    29
08:49:49 stress    4  255  255   1927   47    29
08:49:50 stress    4  255  255   1927   47    29
08:49:51 stress    4  255  255   1927   48    29
08:49:52 stress    4  255  255   1927   47    29
08:49:54 stress    4  255  255   1927   48    29
08:49:55 stress    4  255  255   1927   49    29
08:49:56 stress    4  255  255   1927   49    29
08:49:57 stress    4  255  255   1927   49    29
08:49:58 stress    4  255  255   1927   50    30
08:49:59 stress    4  255  255   1927   50    29
08:50:00 stress    4  255  255   1927   50    30
08:50:02 stress    4  255  255   1927   50    29
08:50:03 stress    4  255  255   1927   50    30
08:50:04 stress    4  255  255   1927   50    30
08:50:05 stress    4  255  255   1927   52    30
08:50:06 stress    4  255  255   1927   53    30
08:50:07 stress    4  255  255   1927   52    29
08:50:08 stress    4  255  255   1927   53    30
08:50:09 stress    4  255  255   1927   53    29
08:50:11 stress    4  255  255   1927   52    29
08:50:12 stress    4  255  255   1927   53    30
08:50:13 stress    4  255  255   1927   54    30
08:50:14 stress    4  163  242   2031   53    30
08:50:15 stress    4  163  161   3052   53    29
08:50:16 stress    4  163  153   3212   53    30
08:50:17 stress    4  163  159   3091   53    30
08:50:19 stress    4  163  162   3034   53    30
08:50:20 stress    4  163  162   3034   53    30
08:50:21 stress    4  163  162   3034   53    30
08:50:22 stress    4  163  162   3034   52    29
08:50:23 stress    4  163  162   3034   53    29
08:50:24 stress    4  163  162   3034   53    30
