# tpnsfand compatibility report
# date:          2026-06-22T12:12:52+02:00
# product:       ThinkPad L13 Yoga Gen 2 / 20VK0014GE
# bios:          R1FET64W (1.38 ) (LNV3: R1F)
# kernel:        7.0.12+deb14.1-amd64
# distro:        Debian GNU/Linux forky/sid
# write_support: Y
# lockdown:      [none] integrity confidentiality
# secure_boot:   SecureBoot disabled
# ibm_fan:       status:		enabled speed:		4636 level:		auto 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon8/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon2/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
12:12:52 idle      4  108  106   4636   64    49
12:12:53 idle      4  108  107   4593   61    49
12:12:54 idle      4  108  107   4593   61    49
12:12:55 idle      4  108  106   4636   60    49
12:12:56 idle      4  108  107   4593   59    49
12:12:57 idle      4  108  107   4593   61    49
12:12:58 idle      4  108  107   4593   59    49
12:12:59 idle      4  108  107   4593   59    49
12:13:00 idle      4  108  106   4636   59    49
12:13:01 idle      4  108  106   4636   60    49
12:13:02 idle      4  108  106   4636   59    49
12:13:03 idle      4  108  106   4636   60    49
12:13:04 idle      4  108  106   4636   59    49
12:13:05 idle      4  108  107   4593   59    49
12:13:06 idle      4  108  106   4636   59    49
12:13:07 idle      4  108  106   4636   63    49
12:13:08 idle      4  108  106   4636   59    49
12:13:09 idle      4  108  106   4636   60    49
12:13:10 idle      4  114  108   4551   59    49
12:13:11 idle      4  114  110   4468   59    49
12:13:12 idle      4  114  113   4349   61    49
12:13:13 idle      4  114  113   4349   59    49
12:13:14 idle      4  114  113   4349   59    49
12:13:15 idle      4  114  113   4349   59    49
12:13:16 idle      4  114  113   4349   58    49
12:13:17 idle      4  114  113   4349   62    49
12:13:18 idle      4  114  113   4349   58    49
12:13:19 idle      4  114  113   4349   58    49
12:13:20 idle      4  114  113   4349   57    49
12:13:21 idle      4  114  113   4349   58    49
12:13:22 stress    4  114  113   4349   59    49
12:13:23 stress    4  114  113   4349   89    49
12:13:25 stress    4  114  113   4349   89    49
12:13:26 stress    4  114  113   4349   90    49
12:13:27 stress    4  114  113   4349   90    49
12:13:28 stress    4  114  113   4349   90    49
12:13:29 stress    4  114  113   4349   89    49
12:13:30 stress    4  114  113   4349   90    49
12:13:31 stress    4  114  113   4349   90    49
12:13:32 stress    4  114  113   4349   90    49
12:13:33 stress    4  114  113   4349   89    49
12:13:35 stress    4  114  113   4349   90    49
12:13:36 stress    4  114  113   4349   90    49
12:13:37 stress    4  114  113   4349   90    49
12:13:38 stress    4  114  113   4349   90    49
12:13:39 stress    4  114  113   4349   90    49
12:13:40 stress    4  114  113   4349   90    49
12:13:41 stress    4  114  113   4349   90    49
12:13:42 stress    4  114  113   4349   89    49
12:13:44 stress    4  114  113   4349   90    49
12:13:45 stress    4  114  123   3996   90    49
12:13:46 stress    4  114  127   3870   89    49
12:13:47 stress    4  114  123   3996   89    49
12:13:48 stress    4  114  121   4062   92    49
12:13:49 stress    4  114  117   4201   89    49
12:13:50 stress    4  114  114   4311   91    49
12:13:51 stress    4  114  103   4772   90    49
12:13:52 stress    4  114  104   4726   90    49
12:13:54 stress    4  114  106   4636   90    49
12:13:55 stress    4  114  110   4468   90    49
12:13:56 stress    4  114  112   4388   90    49
12:13:57 stress    4  114  114   4311   89    49
12:13:58 stress    4  114  112   4388   90    49
12:13:59 stress    4  114  111   4428   90    49
12:14:00 stress    4  114  111   4428   89    49
12:14:02 stress    4  114  111   4428   90    49
12:14:03 stress    4  114  111   4428   89    49
12:14:04 stress    4  114  112   4388   90    49
12:14:05 stress    4  114  111   4428   90    48
12:14:06 stress    4  114  111   4428   89    48
12:14:07 stress    4  108  110   4468   90    48
12:14:08 stress    4  108  107   4593   90    48
12:14:09 stress    4  108  106   4636   90    48
12:14:11 stress    4  108  106   4636   90    48
12:14:12 stress    4  108  106   4636   90    48
12:14:13 stress    4  108  106   4636   91    48
12:14:14 stress    4  108  106   4636   90    48
12:14:15 stress    4  108  106   4636   90    48
12:14:16 stress    4  108  106   4636   90    48
12:14:17 stress    4  108  106   4636   90    48
12:14:18 stress    4  108  105   4681   90    48
12:14:20 stress    4  108  106   4636   89    48
12:14:21 stress    4  108  106   4636   91    48
12:14:22 stress    4  108  106   4636   89    48
12:14:23 stress    4  108  106   4636   89    48
12:14:24 stress    4  108  106   4636   89    48
12:14:25 stress    4  108  106   4636   91    48
12:14:26 stress    4   94  105   4681   91    48
12:14:27 stress    4   94  101   4866   90    48
12:14:29 stress    4   94   98   5015   89    48
12:14:30 stress    4   94   96   5120   89    48
12:14:31 stress    4   94   94   5228   89    48
12:14:32 stress    4   94   93   5285   90    48
12:14:33 stress    4   94   93   5285   90    48
12:14:34 stress    4   94   93   5285   89    48
12:14:35 stress    4   94   93   5285   90    48
12:14:36 stress    4   94   93   5285   90    48
12:14:38 stress    4   94   93   5285   90    48
12:14:39 stress    4   94   93   5285   90    48
12:14:40 stress    4   94   93   5285   89    48
12:14:41 stress    4   94   93   5285   90    48
12:14:42 stress    4   94   93   5285   91    48
12:14:43 stress    4   94   93   5285   89    48
12:14:44 stress    4   94   93   5285   90    48
12:14:45 stress    4   94   93   5285   90    48
12:14:46 stress    4   94   93   5285   90    48
12:14:48 stress    4   94   93   5285   89    48
12:14:49 stress    4   94   93   5285   89    48
12:14:50 stress    4   94   93   5285   90    48
12:14:51 stress    4   94   93   5285   90    48
12:14:52 stress    4   94   93   5285   89    47
12:14:53 stress    4   94   93   5285   91    47
12:14:54 stress    4   94   93   5285   91    47
12:14:55 stress    4   94   93   5285   90    47
12:14:57 stress    4   94   93   5285   89    47
12:14:58 stress    4   94   93   5285   90    47
12:14:59 stress    4   94   93   5285   90    47
12:15:00 stress    4   94   93   5285   90    47
12:15:01 stress    4   94   93   5285   90    47
12:15:02 stress    4   94   93   5285   90    47
12:15:03 stress    4   94   93   5285   90    47
12:15:04 stress    4   94   93   5285   90    47
12:15:06 stress    4   94   93   5285   89    47
12:15:07 stress    4   94   93   5285   90    47
12:15:08 stress    4   94   93   5285   90    47
12:15:09 stress    4   94   93   5285   90    47
12:15:10 stress    4   94   93   5285   90    47
12:15:11 stress    4   94   93   5285   89    47
12:15:12 stress    4   94   93   5285   90    47
12:15:13 stress    4   94   93   5285   90    47
12:15:14 stress    4   94   93   5285   91    47
12:15:16 stress    4   94   93   5285   89    47
