# tpnsfand compatibility report
# date:          2026-06-22T16:12:55+02:00
# product:        / 
# bios:          N2UET74W (1.54 ) (LNV3: N2U)
# kernel:        7.0.12-arch1-1
# distro:        Arch Linux
# write_support: N
# lockdown:      [none] integrity confidentiality
# secure_boot:   
# ibm_fan:       status:		enabled speed:		1927 level:		auto 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon7/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon4/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
16:12:55 idle      4  255  255   1927   87    36
16:12:56 idle      4  255  255   1927   84    36
16:12:57 idle      4  255  255   1927   83    36
16:12:58 idle      4  255  255   1927   82    36
16:12:59 idle      4  255  255   1927   83    36
16:13:00 idle      4  255  255   1927   83    36
16:13:01 idle      4  255  255   1927   85    36
16:13:02 idle      4  255  255   1927   86    36
16:13:03 idle      4  255  255   1927   81    36
16:13:04 idle      4  255  255   1927   87    36
16:13:05 idle      4  255  255   1927   84    36
16:13:06 idle      4  255  255   1927   85    36
16:13:07 idle      4  255  255   1927   91    36
16:13:08 idle      4  163  255   1927   86    36
16:13:09 idle      4  163  172   2857   82    36
16:13:10 idle      4  163  152   3233   87    36
16:13:11 idle      4  163  155   3171   83    36
16:13:12 idle      4  163  159   3091   85    36
16:13:13 idle      4  163  160   3072   78    36
16:13:14 idle      4  163  160   3072   89    36
16:13:16 idle      4  163  160   3072   79    36
16:13:17 idle      4  163  160   3072   79    36
16:13:18 idle      4  163  159   3091   76    36
16:13:19 idle      4  163  159   3091   77    36
16:13:20 idle      4  163  159   3091   76    36
16:13:21 idle      4  163  159   3091   76    36
16:13:22 idle      4  163  159   3091   82    36
16:13:23 idle      4  163  159   3091   76    36
16:13:24 idle      4  163  159   3091   76    36
16:13:25 idle      4  163  159   3091   75    36
16:13:26 stress    4  163  159   3091   75    36
16:13:27 stress    4  163  159   3091   77    36
16:13:28 stress    4  163  158   3110   77    36
16:13:29 stress    4  163  158   3110   78    36
16:13:31 stress    4  163  158   3110   79    36
16:13:32 stress    4  163  158   3110   77    36
16:13:33 stress    4  163  158   3110   76    36
16:13:34 stress    4  163  158   3110   76    36
16:13:35 stress    4  163  158   3110   76    36
16:13:36 stress    4  163  158   3110   77    36
16:13:37 stress    4  163  158   3110   76    36
16:13:38 stress    4  163  158   3110   77    36
16:13:40 stress    4  163  158   3110   76    36
16:13:41 stress    4  163  158   3110   77    36
16:13:42 stress    4  163  158   3110   76    36
16:13:43 stress    4  163  158   3110   76    36
16:13:44 stress    4  163  158   3110   77    36
16:13:45 stress    4  163  158   3110   76    36
16:13:46 stress    4  163  158   3110   75    36
16:13:47 stress    4  163  158   3110   77    36
16:13:49 stress    4  144  158   3110   77    36
16:13:50 stress    4  144  153   3212   77    36
16:13:51 stress    4  144  146   3366   76    36
16:13:52 stress    4  144  140   3510   76    37
16:13:53 stress    4  144  140   3510   76    36
16:13:54 stress    4  144  141   3485   76    36
16:13:55 stress    4  144  141   3485   75    36
16:13:57 stress    4  144  141   3485   76    37
16:13:58 stress    4  144  141   3485   75    36
16:13:59 stress    4  144  141   3485   75    36
16:14:00 stress    4  144  141   3485   76    36
16:14:01 stress    4  144  141   3485   75    37
16:14:03 stress    4  144  141   3485   76    37
