# tpnsfand compatibility report
# date:          2026-06-23T10:01:13+02:00
# product:       ThinkPad X13 Yoga Gen 1 / 20SYS3VH00
# bios:          N2UET78W (1.58 ) (LNV3: N2U)
# kernel:        7.0.10+deb13-amd64
# distro:        Debian GNU/Linux 13 (trixie)
# write_support: Y
# lockdown:      [none] integrity confidentiality
# secure_boot:   SecureBoot disabled
# ibm_fan:       status:		enabled speed:		3668 level:		auto commands:	level <level> (<level> is 0-7, auto, disengaged, full-speed) commands:	enable, disable commands:	watchdog <timeout> (<timeout> is 0 (off), 1-120 (seconds)) 
# profile:       performance [low-power balanced performance]
# cpu_input:     /sys/class/hwmon/hwmon8/temp1_input
# nvme_input:    /sys/class/hwmon/hwmon2/temp1_input
#
time     phase  0x93 0x94 0x95    rpm  cpu  nvme
10:01:14 idle      4  136  134   3668   53    29
10:01:15 idle      4  136  135   3640   52    29
10:01:16 idle      4  136  135   3640   51    29
10:01:17 idle      4  136  135   3640   52    28
10:01:18 idle      4  136  135   3640   51    28
10:01:19 idle      4  136  135   3640   51    28
10:01:20 idle      4  136  135   3640   51    28
10:01:21 idle      4  136  135   3640   51    28
10:01:22 idle      4  136  135   3640   51    28
10:01:23 idle      4  136  135   3640   50    28
10:01:24 idle      4  136  135   3640   50    28
10:01:25 idle      4  136  135   3640   50    28
10:01:26 idle      4  136  135   3640   50    28
10:01:27 idle      4  136  135   3640   50    28
10:01:28 idle      4  136  135   3640   50    29
10:01:29 idle      4  136  135   3640   50    29
10:01:30 idle      4  136  135   3640   50    28
10:01:31 idle      4  163  141   3485   50    28
10:01:32 idle      4  163  155   3171   49    28
10:01:33 idle      4  163  162   3034   50    28
10:01:34 idle      4  163  160   3072   49    28
10:01:36 idle      4  163  159   3091   50    28
10:01:37 idle      4  163  159   3091   50    28
10:01:38 idle      4  163  159   3091   49    28
10:01:39 idle      4  163  159   3091   49    28
10:01:40 idle      4  163  159   3091   49    28
10:01:41 idle      4  163  159   3091   49    28
10:01:42 idle      4  163  159   3091   49    28
10:01:43 idle      4  163  159   3091   49    28
10:01:44 idle      4  163  159   3091   49    28
10:01:45 stress    4  163  159   3091   50    28
10:01:46 stress    4  163  159   3091   97    28
10:01:47 stress    4  163  159   3091   97    28
10:01:48 stress    4  163  159   3091   97    28
10:01:50 stress    4  163  159   3091   98    28
10:01:51 stress    4  163  159   3091   97    28
10:01:52 stress    4  163  159   3091   97    28
10:01:53 stress    4  163  159   3091   97    28
10:01:54 stress    4  163  159   3091   96    28
10:01:55 stress    4  111  157   3130   98    28
10:01:56 stress    4  111  130   3780   97    28
10:01:57 stress    4  111  116   4237   96    28
10:01:59 stress    4  111  111   4428   97    28
10:02:00 stress    4  111  109   4509   97    28
10:02:01 stress    4  111  108   4551   97    28
10:02:02 stress    4  111  108   4551   98    28
10:02:03 stress    4  111  108   4551   97    28
10:02:04 stress    4  111  108   4551   97    28
10:02:06 stress    4  111  108   4551   97    27
10:02:07 stress    4  111  108   4551   97    28
10:02:08 stress    4  111  108   4551   97    28
10:02:09 stress    4  111  108   4551   97    27
10:02:10 stress    4  111  108   4551   96    27
10:02:11 stress    4  111  108   4551   97    27
10:02:12 stress    4  111  108   4551   98    27
10:02:14 stress    4  111  108   4551   97    28
10:02:15 stress    4  111  108   4551   97    27
